Pedido,Data,Nome do Cliente,Nome do produto,Especificações do Produto,Quantidade,Valor Bruto
INK1624670,01/03/2026,,Orelha Eterno,"Feminino, Verde, GG",1,99.9
INK1625361,01/03/2026,,Orelha Eterno,"Feminino, Preta, GG",1,99.9
INK1625745,01/03/2026,,Maltês Floral 2,"Masculino, Preta, 3G",1,149.9
INK1628468,03/03/2026,,Orelha Eterno,"Feminino, Branca, M",1,99.9
INK1631706,05/03/2026,,Orelha Eterno,"Feminino, Preta, P",1,99.9
INK1635108,06/03/2026,,Orelha Eterno,"Masculino, Preta, G",1,99.9
INK1635536,06/03/2026,,Orelha Eterno,"Feminino, Marinho, M",1,99.9
INK1637569,08/03/2026,,Orelha Eterno,"Unissex, Preta, M",1,159.9
INK1641035,09/03/2026,,Orelha Eterno,"Feminino, Preta, PP",2,199.8
INK1641808,10/03/2026,,Dachshund - Salsicha Cupido,"Feminino, Branca, P",1,149.9
INK1645649,12/03/2026,,Amizade Silenciosa,"Masculino, Cinza, GG",1,109.9
INK1647866,13/03/2026,,Cães Me Fazem Feliz,"Feminino, Marinho, M",1,109.9
INK1648168,14/03/2026,,SRD Floral Encanto,"Feminino, Vermelho, GG",1,109.9
INK1658617,20/03/2026,,Beautiful Dogs Club,"Masculino, Branca, 3G",1,149.9
INK1659773,20/03/2026,,Vida com Cachorros,"Cropped, Branca, P",1,99.9
INK1662071,22/03/2026,,Adote Não Compre,"Feminino, Preta, G",1,109.9
INK1664184,23/03/2026,,Batimentos Caninos,"Feminino, Preta, G",1,109.9
